name,confederation,group,host,population,consumption,elo,interest,diaspora_m
Argentina,CONMEBOL,J,0,45696159,29800,2128,0.72,1.0
Brazil,CONMEBOL,C,0,211998573,21590,1978,0.72,1.9
Colombia,CONMEBOL,K,0,52886363,21890,1982,0.6,3.0
Ecuador,CONMEBOL,E,0,18135478,15410,1890,0.55,1.5
Paraguay,CONMEBOL,D,0,6929153,17930,1780,0.55,0.9
Uruguay,CONMEBOL,H,0,3386588,34170,1870,0.7,0.6
Mexico,CONCACAF,A,1,130861007,25460,1881,0.55,12.0
United States,CONCACAF,D,1,340110988,85980,1780,0.3,3.0
Canada,CONCACAF,B,1,41288599,63630,1767,0.25,1.4
Panama,CONCACAF,L,0,4515577,39260,1730,0.45,0.16
Haiti,CONCACAF,C,0,11772557,3190,1536,0.45,1.6
Curacao,CONCACAF,E,0,155967,33300,1427,0.5,0.15
Spain,UEFA,H,0,48848840,57670,2129,0.62,1.4
France,UEFA,I,0,68551653,63880,2084,0.55,2.0
England,UEFA,L,0,57100000,61460,2055,0.65,4.0
Portugal,UEFA,K,0,10694681,50730,1967,0.62,2.5
Netherlands,UEFA,F,0,17993485,84970,1944,0.55,1.0
Germany,UEFA,E,0,83516593,76180,1939,0.55,4.0
Norway,UEFA,I,0,5572279,106830,1929,0.4,0.2
Croatia,UEFA,L,0,3866200,49740,1881,0.62,1.0
Belgium,UEFA,G,0,11858610,74770,1879,0.5,0.5
Switzerland,UEFA,B,0,9005582,91110,1865,0.45,0.7
Austria,UEFA,J,0,9177982,74160,1857,0.45,0.6
Turkiye,UEFA,D,0,85518661,44600,1849,0.55,6.0
Scotland,UEFA,C,0,5490000,61460,853,0.55,0.9
Czechia,UEFA,A,0,10905028,54800,1712,0.45,0.5
Sweden,UEFA,F,0,10569709,75000,1755,0.4,0.4
Bosnia and Herzegovina,UEFA,B,0,3164253,24990,1616,0.55,2.0
Morocco,CAF,C,0,38081173,10260,1840,0.6,5.4
Senegal,CAF,I,0,18501984,4920,1839,0.55,1.5
Algeria,CAF,J,0,46814308,17290,1759,0.55,2.0
Cote d'Ivoire,CAF,E,0,31934230,7360,1743,0.55,1.0
Egypt,CAF,G,0,116538258,18230,1711,0.55,3.5
Ghana,CAF,L,0,34427414,7720,1510,0.55,1.0
Tunisia,CAF,F,0,12277109,14230,1585,0.5,1.3
South Africa,CAF,A,0,64007187,15150,1511,0.45,0.9
DR Congo,CAF,K,0,109276265,1760,1674,0.5,1.5
Cape Verde,CAF,H,0,524877,11000,1606,0.6,1.0
Japan,AFC,F,0,123975371,55490,1910,0.4,0.8
Iran,AFC,G,0,91567738,19820,1756,0.55,1.6
South Korea,AFC,A,0,51751065,61930,1786,0.4,2.5
Australia,AFC,D,0,27196812,69600,1839,0.3,0.6
Qatar,AFC,B,0,2857822,121900,1447,0.35,0.05
Saudi Arabia,AFC,H,0,35300280,71730,1598,0.45,0.3
Uzbekistan,AFC,K,0,36361859,12000,1714,0.4,2.0
Iraq,AFC,I,0,46042015,14530,1592,0.5,2.0
Jordan,AFC,J,0,11552876,10570,1653,0.4,0.8
New Zealand,OFC,G,0,5287500,53600,1578,0.2,0.6
